iter	Logloss
0	0.6734922954
1	0.6506630012
2	0.6254312353
3	0.6082645357
4	0.584348768
5	0.561702277
6	0.5450396708
7	0.5273245445
8	0.5094796845
9	0.4930292964
10	0.478028721
11	0.4639683196
12	0.4500711603
13	0.434048014
14	0.4170437689
15	0.4063718042
16	0.3964044026
17	0.3862063225
18	0.3754562267
19	0.3629704309
20	0.3525624424
21	0.3441867211
22	0.3363092755
23	0.3282535885
24	0.3183699208
25	0.307761171
26	0.3016238319
27	0.2944436882
28	0.2864382884
29	0.2786120006
30	0.2674628475
31	0.2619809764
32	0.2546417649
33	0.2496744192
34	0.2434715341
35	0.239198624
36	0.235040157
37	0.227273015
38	0.224100825
39	0.2182536115
40	0.2138048187
41	0.2072916393
42	0.2008454416
43	0.1973784002
44	0.1943329019
45	0.1902684101
46	0.1860526481
47	0.1816067387
48	0.1784979073
49	0.1751052546
50	0.1709298002
51	0.1674644681
52	0.1641993193
53	0.1612202642
54	0.1585133565
55	0.1550984308
56	0.1519404777
57	0.1496253993
58	0.1477126596
59	0.1456109647
60	0.1432537064
61	0.1414850226
62	0.1387484287
63	0.1365648402
64	0.1337842782
65	0.1320615235
66	0.1293745078
67	0.1263786357
68	0.1243466857
69	0.1219658915
70	0.1201882735
71	0.1186438054
72	0.117361644
73	0.1152802003
74	0.1135573078
75	0.1118652863
76	0.1104094077
77	0.108976098
78	0.107335229
79	0.1052144771
80	0.1034112951
81	0.102161689
82	0.101086748
83	0.09966087767
84	0.09724191363
85	0.09539502061
86	0.09369566398
87	0.09254004114
88	0.0913508891
89	0.08997860232
90	0.08888985802
91	0.08790959897
92	0.08708240837
93	0.08578867412
94	0.08494148031
95	0.08275298029
96	0.08119646992
97	0.0791614029
98	0.07853055107
99	0.07660384104
100	0.0756419631
101	0.07453916914
102	0.07372521237
103	0.07288164965
104	0.07118078534
105	0.07029881488
106	0.06906764768
107	0.06851472493
108	0.06788519344
109	0.06728952165
110	0.0666046547
111	0.06578488994
112	0.06518748456
113	0.06460678232
114	0.06417804557
115	0.06369285685
116	0.0629526563
117	0.0624859373
118	0.06132341602
119	0.06079103106
120	0.06039687459
121	0.05965621823
122	0.05899211924
123	0.05835980204
124	0.05797037642
125	0.05757636737
126	0.05687348545
127	0.05653204583
128	0.05609530184
129	0.05514740465
130	0.05475378649
131	0.05425642723
132	0.05385407619
133	0.0535046131
134	0.05319873403
135	0.05259408642
136	0.05202039784
137	0.05148187014
138	0.05107697126
139	0.05075869629
140	0.05043875586
141	0.05008993644
142	0.04976777307
143	0.04942781531
144	0.0490319657
145	0.04873605871
146	0.04845404119
147	0.04816519948
148	0.0476528337
149	0.04732977173
150	0.04705712146
151	0.04675074906
152	0.04629112248
153	0.04593931351
154	0.04561215027
155	0.04526011992
156	0.04501297112
157	0.04471891773
158	0.04426880474
159	0.04405211125
160	0.04331337208
161	0.04305025988
162	0.04273977716
163	0.042513205
164	0.04196377365
165	0.04162322836
166	0.04140937541
167	0.04121888961
168	0.04088039723
169	0.04054928864
170	0.0403426529
171	0.04007023147
172	0.03987494936
173	0.0395175035
174	0.03916720514
175	0.03882145376
176	0.0386533652
177	0.03831337898
178	0.03813009257
179	0.03787443361
180	0.03751847627
181	0.0373405902
182	0.03706141242
183	0.03682066953
184	0.0362814263
185	0.03575717511
186	0.03532955676
187	0.03501922837
188	0.03473812674
189	0.03425306215
190	0.03408464044
191	0.03382057391
192	0.03358741996
193	0.033446383
194	0.03298675162
195	0.03253837409
196	0.03229439086
197	0.03216077667
198	0.03173892892
199	0.03150336551
200	0.031268803
201	0.03102930462
202	0.03079940924
203	0.03039271198
204	0.03017683168
205	0.02980080566
206	0.02943196267
207	0.0292574424
208	0.02890025705
209	0.02870302022
210	0.02850951228
211	0.02841659329
212	0.02807618345
213	0.02774404149
214	0.02741725809
215	0.02723810915
216	0.02714356341
217	0.02696936764
218	0.02679590096
219	0.02662447467
220	0.02645391292
221	0.02634987475
222	0.02605259631
223	0.02588914667
224	0.02559904395
225	0.02531500267
226	0.02503706089
227	0.02488633165
228	0.0247369527
229	0.02446942444
230	0.02420851242
231	0.02395054977
232	0.02380915332
233	0.02355926697
234	0.02342448849
235	0.02318262123
236	0.02304944769
237	0.02281400175
238	0.02258274757
239	0.02245720702
240	0.02233283568
241	0.02226561162
242	0.02214329344
243	0.02202280291
244	0.02180658919
245	0.02168774033
246	0.02147731158
247	0.0212700367
248	0.02106598538
249	0.0210092081
250	0.02080909549
251	0.0206140937
252	0.02050952613
253	0.02031923405
254	0.02021578912
255	0.02003075927
256	0.01993157781
257	0.01987999132
258	0.0197009568
259	0.01952382323
260	0.01942801875
261	0.01933268245
262	0.01916191567
263	0.01907171495
264	0.01898024364
265	0.01881576037
266	0.01865393495
267	0.01849397458
268	0.01840866876
269	0.01832402617
270	0.01816987193
271	0.01801880476
272	0.01786942554
273	0.01772320836
274	0.01764472913
275	0.01750157228
276	0.01742440628
277	0.01734778132
278	0.01727191525
279	0.01719757502
280	0.01712297382
281	0.01704871428
282	0.01697469177
283	0.01684252625
284	0.01680576948
285	0.01667546621
286	0.01660570748
287	0.01647765801
288	0.01634697204
289	0.01627675131
290	0.01615458507
291	0.01603301654
292	0.01591372836
293	0.01579714107
294	0.01568068145
295	0.01556284167
296	0.01544132709
297	0.01532278463
298	0.01520913819
299	0.01509988221
652336333
06523049902
290	0.006506606936
291	0.00649029389
292	0.00647398131
293	0.006457317621
294	0.006440594792
295	0.006424052641
296	0.006408349611
297	0.006392148323
298	0.006376205478
299	0.006360113155
300	0.006344661117
301	0.006328869611
302	0.006313210819
303	0.006297867745
304	0.006282176822
305	0.0306	0.00513985324
307	0.005120683694
308	0.005101859769
309	0.005083752098
310	0.005064903892
311	0.005047272658
312	0.005028662904
313	0.005010760722
314	0.004992694627
315	0.004975006882
316	0.004957862664
317	0.004939681085
318	0.004922501577
319	0.004905452586
320	0.004888121371
321	0.004871477373
322	0.004853557097
323	0.004836781848
324	0.004820952791
325	0.004804216492
326	0.00478785811
327	0.004771391795
328	0.004755259358
329	0.00473965598
330	0.004723145493
331	0.00470630472
332	0.004690385956
333	0.004675246808
334	0.004659387516
335	0.00464374301
336	0.004628579232
337	0.00461370172
338	0.004599003038
339	0.004583476377
340	0.004568777346
341	0.00455404211
342	0.004538766142
343	0.004524268725
344	0.004509218786
345	0.004494721652
346	0.004480462471
347	0.004465849372
348	0.004452512383
349	0.004438384203
350	0.004424363341
351	0.004409455262
352	0.004396122352	353	0.004382820353	354	0.00436836354	0355	0.00435546759
356	0.004341246743
357	0.004329200468
358	0.004314804832
359	0.004301637511
360	0.004288905982
361	0.004276084414
362	0.004263186744
363	0.004249231541
364	0.00423780072
365	0.004223892166
366	0.00421271366	0.005447476637
367	0.00543563161
368	0.005424778908
369	0.005412567407
370	0.00540164439
371	0.005389231723
372	0.005378709175
373	0.005366425961
374	0.005356014706
375	0.005343419034
376	0.005333468318
377	0.00532074552
378	0.005310513079
379	0.005298960954
380	0.005288199522
381	0.005277698394
382	0.005265885498
383	0.00525581371
384	0.005244432483
385	0.005233670585
386	0.005222767591
387	0.388	0.003950313731
389	0.003938987136
390	0.00392722252
391	0.003916369219
392	0.003906675365
393	0.00389644605
394	0.003884081047
395	0.003873723792
396	0.003863334124
397	0.003852575202
398	0.003840437309
399	0.003826554831
400	0.00381523542
401	0.003804892967
402	0.003794348616
403	0.003784749108
404	0.003775079136
405	0.003763850412
406	0.003754429968
407	0.003744218814
408	0.003733911319
409	0.003724598076
410	0.00371429068
411	0.003704411	0.004967045039
412	0.004957206547
413	0.004947988782
414	0.004938498139
415	0.004928208888
416	0.004918530583
417	0.004909780808
418	0.004899811931
419	0.004891233053
420	0.00488055218
421	0.00487159472
422	0.004862256348
423	0.004853267223
424	0.004844157957
425	0.004833898041
426	0.004825218581
427	0.004816001281
428	0.004806983285
429	0.00479834713
430	0.004789588042
431	0.004779349081
432	0.004770349711
433	0.004761703312
434	0.00475281477
435	0.004744497128
436	0.004736050498
437	0.004726312123
438	0.004716751166
439	0.004708443768
440	0.004699677229
441	0.004691579379
442	0.004683142994
443	0.004674875177
444	0.004666167311
445	0.00465638889
446	0.004648211412
447	0.004639755003
448	0.004630976357
449	0.004622809123
450	0.00461459253
451	0.004606325645
452	0.00459819939
453	0.00459029153
454	0.004582046531
455	0.004574078601
456	0.004565051757
457	0.004556214437
458	0.004548246507
459	0.004540221766
460	0.004532044753
461	0.004524128977
462	0.004516300745
463	0.004508545622
464	0.004500668496
465	0.004492822103
466	0.004484646022
467	0.004476910457
468	0.004469323903
469	0.004461477511
470	0.004453642294
471	0.004445514642
472	0.004437888507
473	0.004430293106
474	0.00442270888
475	0.004415082745
476	0.004407366272
477	0.004399828613
478	0.004392024595
479	0.004384328611
480	0.004376733676
481	0.004369247705
482	0.004361820873
483	0.004354246892
484	0.004346861504
485	0.004339424893
486	0.00433231052
487	0.004324524663
488	0.004317188635
489	0.004309901968
490	0.004302468151
491	0.004295051564
492	0.004287858028
493	0.004281035159
494	0.00427381834
495	0.004267094657
496	0.004259820096
497	0.004252683837
498	0.004245508462
499	0.004238273017
0.001657036915
