iter	Passed	Remaining
462	1503	120
463	1504	116
464	1505	113
465	1506	109
466	1507	106
467	1507	103
468	1508	99
469	1509	96
470	1510	93
471	1511	89
472	1512	86
473	1513	82
474	1514	79
475	1516	76
476	1517	73
477	1519	69
478	1520	66
479	1522	63
480	1523	60
481	1524	56
482	1525	53
483	1526	50
484	1527	47
485	1528	44
486	1529	40
487	1530	37
488	1531	34
489	1532	31
490	1533	28
491	1533	24
492	1534	21
493	1535	18
494	1536	15
495	1537	12
496	1537	9
497	1538	6
498	1539	3
499	1540	0
